"marginalREX","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.788343558282209
"CRS",50,0,0.86
"ERK",323,0,0.993808049535604
"MNT",108,0,0.990740740740741
"MRO",138,0,0.869565217391304
"OSF",29,3731,0.96551724137931
"HKL",110,0,0.818181818181818
"NET",6,0,1
"TWL",867,3731,0.910034602076125
"1978",124,0,0.830645161290323
"1979",102,0,0.901960784313726
"1980",271,0,1
"1981",237,0,0.827004219409283
"1982",249,3731,0.895582329317269
"Q1",162,0,0.777777777777778
"Q2",289,3731,0.941176470588235
"Q3",340,0,0.920588235294118
"Q4",192,0,0.90625
