"marginalREX","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.0276073619631902
"CRS",50,0,0.22
"ERK",323,0,0.291021671826625
"MNT",108,0,0.398148148148148
"MRO",138,0,0.101449275362319
"OSF",29,3731,0.344827586206897
"HKL",110,0,0.0727272727272727
"NET",6,0,0.166666666666667
"TWL",867,3731,0.199538638985006
"1978",124,0,0.137096774193548
"1979",102,0,0.0294117647058824
"1980",271,0,0.284132841328413
"1981",237,0,0.270042194092827
"1982",249,3731,0.0843373493975904
"Q1",162,0,0.222222222222222
"Q2",289,3731,0.294117647058824
"Q3",340,0,0.129411764705882
"Q4",192,0,0.0885416666666667
