margSTAR,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.680981595092024
CRS,50,0,0.94
ERK,323,0,0.46749226006192
MNT,108,0,0.398148148148148
MRO,138,2890,0.934782608695652
OSF,29,0,0.862068965517241
HKL,110,2559,0.881818181818182
NET,6,0,0.333333333333333
TWL,867,331,0.606689734717416
1978,124,0,0.653225806451613
1979,102,112,0.794117647058823
1980,271,331,0.70479704797048
1981,237,1766,0.590717299578059
1982,249,681,0.530120481927711
Q1,162,681,0.617283950617284
Q2,289,147,0.719723183391003
Q3,340,599,0.529411764705882
Q4,192,1463,0.713541666666667
