margYTRK,n,landing,coverage
BDG,12,4003,0.916666666666667
BRG,401,558149,0.915211970074813
CRS,60,494453,0.65
ERK,459,1052922,0.705882352941177
MNT,163,912027,0.779141104294479
MRO,164,239693,0.817073170731707
OSF,36,55138,0.861111111111111
HKL,124,762886,0.733870967741935
NET,14,443471,0.428571428571429
TWL,1157,2110028,0.808988764044944
1978,124,618089,0.766129032258065
1979,102,154519,0.813725490196078
1980,271,242145,0.848708487084871
1981,237,767033,0.831223628691983
1982,249,654370,0.763052208835341
1983,312,880229,0.762820512820513
Q1,228,552205,0.807017543859649
Q2,390,453863,0.807692307692308
Q3,437,1727387,0.780320366132723
Q4,240,582930,0.804166666666667
