margYTRK,n,landing,coverage
BDG,12,4003,1
BRG,401,558149,0.982543640897756
CRS,60,494453,0.933333333333333
ERK,459,1052922,0.956427015250545
MNT,163,912027,0.932515337423313
MRO,164,239693,0.963414634146341
OSF,36,55138,1
HKL,124,762886,0.935483870967742
NET,14,443471,0.714285714285714
TWL,1157,2110028,0.968885047536733
1978,124,618089,0.975806451612903
1979,102,154519,0.980392156862745
1980,271,242145,0.966789667896679
1981,237,767033,0.949367088607595
1982,249,654370,0.971887550200803
1983,312,880229,0.951923076923077
Q1,228,552205,0.973684210526316
Q2,390,453863,0.974358974358974
Q3,437,1727387,0.963386727688787
Q4,240,582930,0.933333333333333
