margVRML,n,landing,coverage
BRG,6,0,0.666666666666667
MNT,88,0,0.670454545454545
MRO,64,56066,0.65625
OSF,52,21191,0.5
HKL,1,9249,0
NET,8,0,1
TWL,201,68008,0.611940298507463
1978,57,0,0.56140350877193
1980,61,77257,0.704918032786885
1981,42,0,0.476190476190476
1982,50,0,0.72
Q1,43,18759,0.744186046511628
Q2,73,46817,0.684931506849315
Q3,54,11681,0.62962962962963
Q4,40,0,0.375
