margVRML,n,landing,coverage
BRG,6,0,1
MNT,88,0,1
MRO,64,56066,0.96875
OSF,52,21191,0.961538461538462
HKL,1,9249,0
NET,8,0,1
TWL,201,68008,0.985074626865672
1978,57,0,1
1980,61,77257,0.934426229508197
1981,42,0,1
1982,50,0,1
Q1,43,18759,0.953488372093023
Q2,73,46817,0.986301369863014
Q3,54,11681,0.981481481481482
Q4,40,0,1
