"marginalRDBD","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,0,0.465909090909091
"MRO",64,2654,0.203125
"OSF",52,2783,0.730769230769231
"HKL",1,0,0
"NET",8,0,0
"TWL",201,5437,0.472636815920398
"1978",57,2783,0.596491228070175
"1980",61,0,0.360655737704918
"1981",42,2654,0.404761904761905
"1982",50,0,0.44
"Q1",43,0,0.511627906976744
"Q2",73,0,0.397260273972603
"Q3",54,2783,0.5
"Q4",40,2654,0.425
