margCBZN,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.674846625766871
CRS,50,0,1
ERK,323,0,0.86687306501548
MNT,108,0,0.898148148148148
MRO,138,125,0.992753623188406
OSF,29,0,0.862068965517241
HKL,110,125,0.972727272727273
NET,6,0,1
TWL,867,0,0.813148788927336
1978,124,0,0.862903225806452
1979,102,125,0.990196078431373
1980,271,0,0.708487084870849
1981,237,0,0.890295358649789
1982,249,0,0.831325301204819
Q1,162,0,0.87037037037037
Q2,289,125,0.85121107266436
Q3,340,0,0.747058823529412
Q4,192,0,0.921875
