margCBZN,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.208588957055215
CRS,50,0,0.74
ERK,323,0,0.417956656346749
MNT,108,0,0.537037037037037
MRO,138,125,0.905797101449275
OSF,29,0,0.275862068965517
HKL,110,125,0.8
NET,6,0,0.833333333333333
TWL,867,0,0.394463667820069
1978,124,0,0.354838709677419
1979,102,125,0.627450980392157
1980,271,0,0.380073800738007
1981,237,0,0.409282700421941
1982,249,0,0.51004016064257
Q1,162,0,0.475308641975309
Q2,289,125,0.366782006920415
Q3,340,0,0.397058823529412
Q4,192,0,0.609375
