margREX,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,311,0.989473684210526
MRO,66,0,0.924242424242424
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,225,311,0.973333333333333
1978,57,311,0.982456140350877
1980,61,0,1
1981,42,0,0.904761904761905
1982,50,0,1
1983,18,0,0.944444444444444
1984,6,0,1
Q1,51,311,0.980392156862745
Q2,79,0,1
Q3,59,0,0.932203389830508
Q4,45,0,0.977777777777778
