margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,1
CRS,50,0,0.82
ERK,323,6444,0.938080495356037
MNT,108,0,0.898148148148148
MRO,138,2014,0.934782608695652
OSF,29,15228,0.689655172413793
HKL,110,20839,0.909090909090909
NET,6,0,0.833333333333333
TWL,867,2847,0.945790080738178
1978,124,0,0.879032258064516
1979,102,0,0.931372549019608
1980,271,19234,0.929889298892989
1981,237,0,1
1982,249,4452,0.931726907630522
Q1,162,0,0.950617283950617
Q2,289,15228,0.934256055363322
Q3,340,7833,0.917647058823529
Q4,192,625,0.984375
