margURCK,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.996932515337423
CRS,50,44,0.94
ERK,323,0,0.987616099071207
MNT,108,0,0.916666666666667
MRO,138,0,0.934782608695652
OSF,29,0,0.862068965517241
HKL,110,0,0.918181818181818
NET,6,0,0.833333333333333
TWL,867,44,0.975778546712803
1978,124,0,0.991935483870968
1979,102,0,0.980392156862745
1980,271,44,0.970479704797048
1981,237,0,0.983122362869198
1982,249,0,0.93574297188755
Q1,162,0,0.938271604938272
Q2,289,0,0.955017301038062
Q3,340,44,0.976470588235294
Q4,192,0,1
