"marginalREX","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.395705521472393
"CRS",50,0,0.08
"ERK",323,0,0.0340557275541796
"MNT",108,0,0.37037037037037
"MRO",138,0,0.391304347826087
"OSF",29,3731,0.344827586206897
"HKL",110,0,0.354545454545455
"NET",6,0,0.5
"TWL",867,3731,0.238754325259516
"1978",124,0,0.42741935483871
"1979",102,0,0.284313725490196
"1980",271,0,0.324723247232472
"1981",237,0,0.156118143459916
"1982",249,3731,0.168674698795181
"Q1",162,0,0.333333333333333
"Q2",289,3731,0.207612456747405
"Q3",340,0,0.211764705882353
"Q4",192,0,0.328125
