"marginalSTAR","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.815950920245399
"CRS",50,0,0.9
"ERK",323,0,0.863777089783282
"MNT",108,0,0.675925925925926
"MRO",138,2890,0.869565217391304
"OSF",29,0,0.655172413793103
"HKL",110,2559,0.927272727272727
"NET",6,0,1
"TWL",867,331,0.810841983852365
"1978",124,0,0.669354838709677
"1979",102,112,0.892156862745098
"1980",271,331,0.848708487084871
"1981",237,1766,0.767932489451477
"1982",249,681,0.903614457831325
"Q1",162,681,0.864197530864197
"Q2",289,147,0.844290657439446
"Q3",340,599,0.788235294117647
"Q4",192,1463,0.828125
