margSLGR,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.315950920245399
CRS,50,0,0.24
ERK,323,1894,0.142414860681115
MNT,108,0,0.259259259259259
MRO,138,0,0.384057971014493
OSF,29,0,0.413793103448276
HKL,110,0,0.454545454545455
NET,6,0,0.166666666666667
TWL,867,1894,0.234140715109573
1978,124,0,0.153225806451613
1979,102,1894,0.205882352941176
1980,271,0,0.265682656826568
1981,237,0,0.244725738396624
1982,249,0,0.337349397590361
Q1,162,1894,0.228395061728395
Q2,289,0,0.107266435986159
Q3,340,0,0.373529411764706
Q4,192,0,0.307291666666667
