margYTRK,n,landing,coverage
BDG,52,0,0.942307692307692
BRG,51,0,0.980392156862745
CRS,22,33246,0.954545454545455
ERK,165,11021,0.927272727272727
MNT,21,0,1
MRO,6,26877,0.833333333333333
OSF,29,65757,0.896551724137931
NET,9,65757,0.777777777777778
TWL,337,71144,0.943620178041543
1981,37,0,1
1982,92,60123,0.880434782608696
1983,73,9525,0.945205479452055
1984,69,1496,0.942028985507246
1985,75,65757,0.973333333333333
Q1,108,9861,0.962962962962963
Q2,79,32263,0.936708860759494
Q3,90,93617,0.877777777777778
Q4,69,1160,0.985507246376812
