margYTRK,n,landing,coverage
BDG,52,0,0.942307692307692
BRG,51,0,0.980392156862745
CRS,22,33246,0.954545454545455
ERK,165,11021,0.945454545454545
MNT,21,0,1
MRO,6,26877,1
OSF,29,65757,0.931034482758621
NET,9,65757,0.777777777777778
TWL,337,71144,0.958456973293769
1981,37,0,1
1982,92,60123,0.91304347826087
1983,73,9525,0.945205479452055
1984,69,1496,0.971014492753623
1985,75,65757,0.973333333333333
Q1,108,9861,0.972222222222222
Q2,79,32263,0.974683544303797
Q3,90,93617,0.888888888888889
Q4,69,1160,0.985507246376812
