margPNKR,n,landing,coverage
BDG,31,0,0.806451612903226
BRG,420,0,0.423809523809524
CRS,73,0,0.410958904109589
ERK,533,0,0.347091932457786
MNT,249,0,0.236947791164659
MRO,201,0,0.492537313432836
OSF,65,0,0.261538461538462
HKL,128,0,0.5
NET,24,0,0.25
TWL,1420,0,0.36830985915493
1978,124,0,0.354838709677419
1979,102,0,0.686274509803922
1980,271,0,0.420664206642066
1981,237,0,0.185654008438819
1982,249,0,0.397590361445783
1983,312,0,0.490384615384615
1984,277,0,0.249097472924188
Q1,277,0,0.454873646209386
Q2,441,0,0.390022675736961
Q3,534,0,0.367041198501873
Q4,320,0,0.309375
