"marginalPOP","n","landing","coverage"
"BDG",27,0,1
"BRG",12,0,0.5
"CRS",3,0,1
"ERK",55,0,0.872727272727273
"MNT",11,0,0.727272727272727
"MRO",1,0,1
"OSF",20,0,0.7
"TWL",129,0,0.829457364341085
"1981",37,0,0.972972972972973
"1982",92,0,0.771739130434783
"Q1",33,0,1
"Q2",13,0,1
"Q3",37,0,0.702702702702703
"Q4",46,0,0.760869565217391
