"marginalCOPP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,1
"CRS",50,0,0.74
"ERK",323,6444,0.984520123839009
"MNT",108,0,1
"MRO",138,2014,0.898550724637681
"OSF",29,15228,0.896551724137931
"HKL",110,20839,0.918181818181818
"NET",6,0,1
"TWL",867,2847,0.970011534025375
"1978",124,0,1
"1979",102,0,0.941176470588235
"1980",271,19234,0.940959409594096
"1981",237,0,1
"1982",249,4452,0.947791164658635
"Q1",162,0,0.981481481481482
"Q2",289,15228,0.996539792387543
"Q3",340,7833,0.938235294117647
"Q4",192,625,0.947916666666667
