margHBRK,n,landing,coverage
BDG,56,0,0.839285714285714
BRG,457,0,0.903719912472648
CRS,82,0,0.951219512195122
ERK,594,0,0.944444444444444
MNT,344,0,0.875
MRO,266,0,0.883458646616541
OSF,104,0,0.971153846153846
HKL,138,0,0.905797101449275
NET,47,0,0.808510638297872
TWL,1718,0,0.915599534342258
1978,124,0,1
1979,102,0,0.901960784313726
1980,271,0,0.808118081180812
1981,237,0,0.907172995780591
1982,249,0,0.983935742971888
1983,312,0,0.903846153846154
1984,277,0,1
1985,331,0,0.851963746223565
Q1,339,0,0.837758112094395
Q2,531,0,0.988700564971751
Q3,645,0,0.872868217054264
Q4,388,0,0.938144329896907
