"marginalSHRP","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,3698,0.193251533742331
"CRS",50,0,0.58
"ERK",323,0,0.328173374613003
"MNT",108,0,0.194444444444444
"MRO",138,0,0.297101449275362
"OSF",29,0,0.103448275862069
"HKL",110,0,0.336363636363636
"NET",6,0,0.5
"TWL",867,3698,0.261822376009227
"1978",124,0,0.145161290322581
"1979",102,3698,0.401960784313726
"1980",271,0,0.143911439114391
"1981",237,0,0.261603375527426
"1982",249,0,0.429718875502008
"Q1",162,0,0.407407407407407
"Q2",289,0,0.228373702422145
"Q3",340,1139,0.3
"Q4",192,2559,0.171875
