"marginalYTRK","n","landing","coverage"
"BRG",6,0,1
"MNT",88,184639,0.943181818181818
"MRO",64,31279,0.984375
"OSF",52,43921,0.961538461538462
"HKL",1,0,1
"NET",8,157399,0.375
"TWL",201,102440,0.985074626865672
"1978",57,45369,0.912280701754386
"1980",61,20104,1
"1981",42,55925,0.976190476190476
"1982",50,138441,0.96
"Q1",43,189155,0.953488372093023
"Q2",73,32405,0.931506849315068
"Q3",54,34690,0.981481481481482
"Q4",40,3589,1
