margREDS,n,landing,coverage
BDG,9,0,1
BRG,326,4464,0.883435582822086
CRS,50,0,1
ERK,323,4155,0.981424148606811
MNT,108,0,0.990740740740741
MRO,138,0,1
OSF,29,0,0.931034482758621
HKL,110,0,0.990909090909091
NET,6,0,1
TWL,867,8619,0.946943483275663
1978,124,0,0.967741935483871
1979,102,0,0.852941176470588
1980,271,3996,0.985239852398524
1981,237,468,0.911392405063291
1982,249,4155,0.987951807228916
Q1,162,468,0.969135802469136
Q2,289,7030,0.923875432525952
Q3,340,0,0.994117647058824
Q4,192,1121,0.90625
