"marginalCLPR","n","landing","coverage"
"BDG",27,0,1
"BRG",12,0,1
"CRS",3,0,1
"ERK",55,506,0.963636363636364
"MNT",11,2408,0.818181818181818
"MRO",1,4798,0
"OSF",20,0,1
"TWL",129,7712,0.961240310077519
"1981",37,0,1
"1982",92,7712,0.945652173913043
"Q1",33,506,0.939393939393939
"Q2",13,0,1
"Q3",37,4798,0.972972972972973
"Q4",46,2408,0.956521739130435
