margGSPT,n,landing,coverage
BDG,9,0,1
BRG,326,274928,0.822085889570552
CRS,50,23232,0.66
ERK,323,231696,0.894736842105263
MNT,108,15597,0.935185185185185
MRO,138,105637,0.760869565217391
OSF,29,24513,0.931034482758621
HKL,110,108515,0.7
NET,6,0,1
TWL,867,567088,0.863898500576701
1978,124,27031,0.854838709677419
1979,102,91046,0.803921568627451
1980,271,81904,0.841328413284133
1981,237,329640,0.852320675105485
1982,249,145982,0.859437751004016
Q1,162,224167,0.845679012345679
Q2,289,167944,0.865051903114187
Q3,340,124482,0.844117647058824
Q4,192,159010,0.822916666666667
