"marginalSHRP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,3698,0.993865030674847
"CRS",50,0,1
"ERK",323,0,1
"MNT",108,0,0.990740740740741
"MRO",138,0,0.963768115942029
"OSF",29,0,0.758620689655172
"HKL",110,0,0.945454545454545
"NET",6,0,1
"TWL",867,3698,0.98961937716263
"1978",124,0,1
"1979",102,3698,0.980392156862745
"1980",271,0,0.996309963099631
"1981",237,0,0.957805907172996
"1982",249,0,0.991967871485944
"Q1",162,0,0.969135802469136
"Q2",289,0,1
"Q3",340,1139,0.973529411764706
"Q4",192,2559,0.994791666666667
