margBLUR,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,0,0.826086956521739
MRO,66,0,0.96969696969697
OSF,63,0,0.952380952380952
HKL,1,0,1
NET,8,0,0.5
TWL,219,0,0.922374429223744
1978,57,0,0.719298245614035
1980,61,0,1
1981,42,0,0.928571428571429
1982,50,0,0.96
1983,18,0,1
Q1,45,0,1
Q2,79,0,0.936708860759494
Q3,59,0,0.779661016949153
Q4,45,0,0.933333333333333
