margBLUR,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,0,0.945652173913043
MRO,66,0,1
OSF,63,0,0.984126984126984
HKL,1,0,1
NET,8,0,0.5
TWL,219,0,0.990867579908676
1978,57,0,0.912280701754386
1980,61,0,1
1981,42,0,0.976190476190476
1982,50,0,1
1983,18,0,1
Q1,45,0,1
Q2,79,0,0.936708860759494
Q3,59,0,1
Q4,45,0,0.977777777777778
