margDBRK,n,landing,coverage
BDG,56,252674,0.946428571428571
BRG,457,1359541,0.940919037199125
CRS,82,701704,0.865853658536585
ERK,594,1735205,0.868686868686869
MNT,344,230491,0.950581395348837
MRO,266,94266,0.988721804511278
OSF,104,35224,1
HKL,138,3589,1
NET,47,0,1
TWL,1718,4405516,0.919091967403958
1978,124,78910,0.959677419354839
1979,102,233217,0.970588235294118
1980,271,322036,0.96309963099631
1981,237,619303,0.953586497890295
1982,249,323184,0.919678714859438
1983,312,830995,0.932692307692308
1984,277,714747,0.891696750902527
1985,331,1286713,0.882175226586103
Q1,339,990956,0.941002949852507
Q2,531,1172625,0.913370998116761
Q3,645,1284804,0.936434108527132
Q4,388,960720,0.917525773195876
