margSPKL,n,landing,coverage
BDG,33,0,1
BRG,26,0,1
CRS,7,0,1
ERK,99,0,1
MNT,12,0,0.916666666666667
MRO,3,13438,0.666666666666667
OSF,22,0,1
TWL,202,13438,0.99009900990099
1981,37,0,1
1982,92,13438,0.978260869565217
1983,73,0,1
Q1,51,0,1
Q2,35,0,1
Q3,59,13438,0.983050847457627
Q4,57,0,0.982456140350877
