"marginalDBRK","n","landing","coverage"
"BRG",6,0,0
"MNT",88,12714,0.318181818181818
"MRO",64,0,0.34375
"OSF",52,24474,0.0384615384615385
"HKL",1,0,1
"NET",8,0,0
"TWL",201,37188,0.253731343283582
"1978",57,5723,0.192982456140351
"1980",61,24474,0.19672131147541
"1981",42,6991,0.214285714285714
"1982",50,0,0.4
"Q1",43,0,0.0465116279069767
"Q2",73,0,0.356164383561644
"Q3",54,5723,0.425925925925926
"Q4",40,31465,0.025
