"marginalFLAG","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,1
"MRO",64,0,1
"OSF",52,20292,0.846153846153846
"HKL",1,0,1
"NET",8,0,1
"TWL",201,20292,0.960199004975124
"1978",57,0,0.87719298245614
"1980",61,0,1
"1981",42,0,1
"1982",50,20292,0.98
"Q1",43,0,1
"Q2",73,0,1
"Q3",54,20292,0.851851851851852
"Q4",40,0,1
