margARRA,n,landing,coverage
BDG,12,0,1
BRG,401,8631,0.970074812967581
CRS,60,49340,0.866666666666667
ERK,459,28531,0.956427015250545
MNT,163,6965,0.957055214723926
MRO,164,0,1
OSF,36,0,1
HKL,124,0,1
NET,14,0,1
TWL,1157,93467,0.959377700950735
1978,124,224,0.991935483870968
1979,102,363,0.990196078431373
1980,271,5005,0.981549815498155
1981,237,11213,0.983122362869198
1982,249,17469,0.943775100401606
1983,312,59193,0.92948717948718
Q1,228,8164,0.969298245614035
Q2,390,16971,0.971794871794872
Q3,437,14749,0.961098398169336
Q4,240,53583,0.95
