"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,1535,0.242331288343558
"CRS",50,0,0.06
"ERK",323,0,0.275541795665635
"MNT",108,0,0.416666666666667
"MRO",138,0,0.340579710144928
"OSF",29,0,0.344827586206897
"HKL",110,0,0.3
"NET",6,0,0.833333333333333
"TWL",867,1535,0.280276816608997
"1978",124,0,0.217741935483871
"1979",102,1535,0.333333333333333
"1980",271,0,0.420664206642066
"1981",237,0,0.0928270042194093
"1982",249,0,0.337349397590361
"Q1",162,0,0.0555555555555556
"Q2",289,0,0.200692041522491
"Q3",340,0,0.429411764705882
"Q4",192,1535,0.354166666666667
