margMXRF,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,15828,0.831288343558282
CRS,50,0,0.96
ERK,323,0,0.643962848297214
MNT,108,0,0.703703703703704
MRO,138,0,0.789855072463768
OSF,29,0,1
HKL,110,0,0.927272727272727
NET,6,0,0.166666666666667
TWL,867,15828,0.743944636678201
1978,124,0,0.959677419354839
1979,102,0,0.823529411764706
1980,271,15828,0.47970479704797
1981,237,0,0.940928270042194
1982,249,0,0.771084337349398
Q1,162,0,0.944444444444444
Q2,289,6676,0.747404844290657
Q3,340,9152,0.741176470588235
Q4,192,0,0.661458333333333
