margROSY,n,landing,coverage
BDG,9,0,0.666666666666667
BRG,326,0,0.346625766871166
CRS,50,0,0.3
ERK,323,0,0.634674922600619
MNT,108,0,0.574074074074074
MRO,138,321,0.63768115942029
OSF,29,0,0.827586206896552
HKL,110,321,0.618181818181818
NET,6,0,0.333333333333333
TWL,867,0,0.510957324106113
1978,124,0,0.459677419354839
1979,102,0,0.441176470588235
1980,271,60,0.527675276752767
1981,237,136,0.30379746835443
1982,249,125,0.78714859437751
Q1,162,125,0.530864197530864
Q2,289,0,0.602076124567474
Q3,340,60,0.452941176470588
Q4,192,136,0.515625
