margEGLS,n,landing,coverage
BDG,56,0,0.0714285714285714
BRG,457,0,0.190371991247265
CRS,82,0,0.0731707317073171
ERK,594,0,0.284511784511784
MNT,344,1398,0.133720930232558
MRO,266,0,0.195488721804511
OSF,104,0,0.0769230769230769
HKL,138,0,0.311594202898551
NET,47,0,0.170212765957447
TWL,1718,1398,0.186845168800931
1978,124,0,0.346774193548387
1979,102,0,0.0882352941176471
1980,271,1398,0.265682656826568
1981,237,0,0.421940928270042
1982,249,0,0.156626506024096
1983,312,0,0.16025641025641
1984,277,0,0.0216606498194946
1985,331,0,0.16012084592145
Q1,339,0,0.206489675516224
Q2,531,0,0.199623352165725
Q3,645,1398,0.153488372093023
Q4,388,0,0.25
