margEGLS,n,landing,coverage
BDG,56,0,0.982142857142857
BRG,457,0,0.921225382932166
CRS,82,0,0.670731707317073
ERK,594,0,0.863636363636364
MNT,344,1398,0.86046511627907
MRO,266,0,0.868421052631579
OSF,104,0,0.798076923076923
HKL,138,0,0.869565217391304
NET,47,0,0.957446808510638
TWL,1718,1398,0.866705471478463
1978,124,0,0.991935483870968
1979,102,0,0.92156862745098
1980,271,1398,0.937269372693727
1981,237,0,0.818565400843882
1982,249,0,0.895582329317269
1983,312,0,0.823717948717949
1984,277,0,0.823104693140794
1985,331,0,0.848942598187311
Q1,339,0,0.823008849557522
Q2,531,0,0.964218455743879
Q3,645,1398,0.770542635658915
Q4,388,0,0.943298969072165
