margBLCK,n,landing,coverage
BDG,9,0,1
BRG,326,1297,1
CRS,50,175058,0.92
ERK,323,1513311,0.839009287925697
MNT,108,0,1
MRO,138,66,0.992753623188406
OSF,29,0,1
HKL,110,115909,0.963636363636364
NET,6,0,1
TWL,867,1573823,0.938869665513264
1978,124,232338,0.975806451612903
1979,102,238,0.990196078431373
1980,271,103623,0.944649446494465
1981,237,984858,0.940928270042194
1982,249,368675,0.903614457831325
Q1,162,693623,0.969135802469136
Q2,289,307900,0.937716262975779
Q3,340,266950,0.926470588235294
Q4,192,421259,0.953125
