"marginalDBRK","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,12714,0.659090909090909
"MRO",64,0,0.71875
"OSF",52,24474,0.442307692307692
"HKL",1,0,1
"NET",8,0,0.875
"TWL",201,37188,0.616915422885572
"1978",57,5723,0.596491228070175
"1980",61,24474,0.754098360655738
"1981",42,6991,0.547619047619048
"1982",50,0,0.58
"Q1",43,0,0.651162790697674
"Q2",73,0,0.726027397260274
"Q3",54,5723,0.518518518518518
"Q4",40,31465,0.575
