,species,year,qtr,portComplex,gearGroup,marketCategory,live,sampleNumber,clusterNumber,weight,comLands
17172,YTRK,1990,3,ERK,TWL,250,N,199000040,1,4,180087
17173,YTRK,1990,3,ERK,TWL,250,N,199000064,2,32,180087
17174,YTRK,1990,3,ERK,TWL,250,N,199000054,1,24,180087
17175,YTRK,1990,3,ERK,TWL,250,N,199000048,1,13,180087
17176,YTRK,1990,3,ERK,TWL,250,N,199000062,1,1,180087
17177,YTRK,1990,3,ERK,TWL,250,N,199000051,1,7,180087
17178,YTRK,1990,3,ERK,TWL,250,N,199000054,2,31,180087
17179,YTRK,1990,3,ERK,TWL,250,N,199000048,2,11,180087
17180,YTRK,1990,3,ERK,TWL,250,N,199000064,1,20,180087
17181,YTRK,1990,3,ERK,TWL,250,N,199000062,2,2,180087
17182,YTRK,1990,3,ERK,TWL,250,N,199000060,1,12,180087
17183,YTRK,1990,3,ERK,TWL,250,N,199000060,2,15,180087
17184,YTRK,1990,3,ERK,TWL,250,N,199000051,2,15,180087
17185,YTRK,1990,3,MNT,HKL,250,N,199002115,1,13,11401
17186,YTRK,1990,3,MNT,NET,250,N,199002160,2,34,8732
17187,YTRK,1990,3,MNT,NET,250,N,199002118,2,2,8732
17188,YTRK,1990,3,MNT,NET,250,N,199002125,1,5,8732
17189,YTRK,1990,3,MNT,NET,250,N,199002116,2,2,8732
17190,YTRK,1990,3,MNT,NET,250,N,199002120,2,3,8732
17191,YTRK,1990,3,MNT,NET,250,N,199002160,1,33,8732
17192,YTRK,1990,3,MNT,TWL,250,N,199002142,1,3,27
17193,YTRK,1990,3,MRO,TWL,250,N,199002771,2,3,2570
17194,YTRK,1990,3,OSF,TWL,250,N,199001509,2,7,49638
17195,YTRK,1990,3,OSF,TWL,250,N,199001511,2,5,49638
17196,YTRK,1990,3,OSF,TWL,250,N,199001510,1,7,49638
17197,YTRK,1990,3,OSF,TWL,250,N,199001512,1,4,49638
17198,YTRK,1990,3,OSF,TWL,250,N,199001510,2,2,49638
17199,YTRK,1990,3,OSF,TWL,250,N,199001511,1,4,49638
17200,YTRK,1990,4,BRG,TWL,250,N,199000602,1,8,1107
17201,YTRK,1990,4,BRG,TWL,250,N,199000602,2,5,1107
17202,YTRK,1990,4,ERK,TWL,250,N,199000082,2,14,22753
17203,YTRK,1990,4,ERK,TWL,250,N,199000082,1,12,22753
17204,YTRK,1990,4,ERK,TWL,250,N,199000076,1,8,22753
17205,YTRK,1990,4,ERK,TWL,250,N,199000076,2,9,22753
17206,YTRK,1990,4,MNT,HKL,250,N,199002184,1,38,39144
17207,YTRK,1990,4,MNT,HKL,250,N,199002191,1,11,39144
17208,YTRK,1990,4,MNT,HKL,250,N,199002191,2,7,39144
17209,YTRK,1990,4,MNT,NET,250,N,199002204,2,21,14304
17210,YTRK,1990,4,MNT,NET,250,N,199002209,1,3,14304
17211,YTRK,1990,4,MNT,NET,250,N,199002173,1,24,14304
17212,YTRK,1990,4,MNT,NET,250,N,199002204,1,11,14304
17213,YTRK,1990,4,MNT,NET,250,N,199002173,2,30,14304
17214,YTRK,1990,4,MNT,NET,250,N,199002200,2,5,14304
17215,YTRK,1990,4,MRO,HKL,250,N,199002779,2,16,27257
17216,YTRK,1990,4,MRO,HKL,250,N,199002779,1,17,27257
17217,YTRK,1990,4,OSF,HKL,250,N,199001518,2,35,98407
17218,YTRK,1990,4,OSF,HKL,250,N,199001513,2,29,98407
17219,YTRK,1990,4,OSF,HKL,250,N,199001513,1,29,98407
17220,YTRK,1990,4,OSF,HKL,250,N,199001518,1,26,98407
17221,YTRK,1990,4,OSF,TWL,250,N,199001519,2,7,5612
17222,YTRK,1990,4,OSF,TWL,250,N,199001517,1,1,5612
