"marginalFLAG","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,0.943181818181818
"MRO",64,0,1
"OSF",52,20292,0.961538461538462
"HKL",1,0,1
"NET",8,0,1
"TWL",201,20292,0.965174129353234
"1978",57,0,1
"1980",61,0,0.934426229508197
"1981",42,0,0.976190476190476
"1982",50,20292,0.96
"Q1",43,0,0.976744186046512
"Q2",73,0,1
"Q3",54,20292,0.962962962962963
"Q4",40,0,0.9
