"marginalFLAG","n","landing","coverage"
"BRG",6,0,0.166666666666667
"MNT",88,0,0.386363636363636
"MRO",64,0,0.6875
"OSF",52,20292,0.461538461538462
"HKL",1,0,1
"NET",8,0,1
"TWL",201,20292,0.467661691542289
"1978",57,0,0.368421052631579
"1980",61,0,0.409836065573771
"1981",42,0,0.833333333333333
"1982",50,20292,0.44
"Q1",43,0,0.372093023255814
"Q2",73,0,0.561643835616438
"Q3",54,20292,0.481481481481481
"Q4",40,0,0.5
