margCLPR,n,landing,coverage
BDG,9,160601,1
BRG,326,5460561,0.96319018404908
CRS,50,18822,1
ERK,323,1278213,0.944272445820433
MNT,108,1573782,0.916666666666667
MRO,138,841860,0.985507246376812
OSF,29,837157,0.96551724137931
HKL,110,597138,0.972727272727273
NET,6,0,1
TWL,867,9573858,0.955017301038062
1978,124,1172492,0.967741935483871
1979,102,2327247,0.911764705882353
1980,271,2560887,0.948339483394834
1981,237,2252765,0.987341772151899
1982,249,1857605,0.951807228915663
Q1,162,2134234,0.975308641975309
Q2,289,2254890,0.948096885813149
Q3,340,3183438,0.961764705882353
Q4,192,2598434,0.947916666666667
