margSPKL,n,landing,coverage
BRG,6,0,0.333333333333333
MNT,88,945,0.806818181818182
MRO,64,30039,0.9375
OSF,52,0,0.942307692307692
HKL,1,0,1
NET,8,904,0.75
TWL,201,30080,0.870646766169154
1978,57,945,0.701754385964912
1980,61,0,0.885245901639344
1981,42,30039,0.952380952380952
1982,50,0,0.96
Q1,43,9729,0.674418604651163
Q2,73,415,0.945205479452055
Q3,54,20840,0.907407407407407
Q4,40,0,0.875
