margEGLS,n,landing,coverage
BDG,12,0,0.833333333333333
BRG,401,0,0.920199501246883
CRS,60,0,0.95
ERK,459,0,0.877995642701525
MNT,163,1398,0.94478527607362
MRO,164,0,0.969512195121951
OSF,36,0,0.944444444444444
HKL,124,0,1
NET,14,0,1
TWL,1157,1398,0.905790838375108
1978,124,0,0.983870967741935
1979,102,0,0.754901960784314
1980,271,1398,0.992619926199262
1981,237,0,0.911392405063291
1982,249,0,0.799196787148594
1983,312,0,0.971153846153846
Q1,228,0,0.881578947368421
Q2,390,0,0.992307692307692
Q3,437,1398,0.864988558352403
Q4,240,0,0.916666666666667
