margTIGR,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,0,0.352272727272727
MRO,64,0,0.578125
OSF,52,4022,0.538461538461538
HKL,1,0,1
NET,8,0,0.125
TWL,201,4022,0.472636815920398
1978,57,0,0.368421052631579
1980,61,0,0.377049180327869
1981,42,4022,0.619047619047619
1982,50,0,0.54
Q1,43,0,0.0465116279069767
Q2,73,0,0.671232876712329
Q3,54,0,0.425925925925926
Q4,40,4022,0.575
