"marginalRDBD","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.215909090909091
"MRO",64,2654,0.3125
"OSF",52,2783,0.211538461538462
"HKL",1,0,1
"NET",8,0,0.75
"TWL",201,5437,0.213930348258706
"1978",57,2783,0.350877192982456
"1980",61,0,0.114754098360656
"1981",42,2654,0.404761904761905
"1982",50,0,0.12
"Q1",43,0,0.186046511627907
"Q2",73,0,0.191780821917808
"Q3",54,2783,0.0740740740740741
"Q4",40,2654,0.6
