"marginalRDBD","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,0.875
"MRO",64,2654,0.984375
"OSF",52,2783,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,5437,0.935323383084577
"1978",57,2783,0.789473684210526
"1980",61,0,1
"1981",42,2654,0.976190476190476
"1982",50,0,1
"Q1",43,0,1
"Q2",73,0,1
"Q3",54,2783,0.777777777777778
"Q4",40,2654,0.975
