margLSPN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,432,0.226993865030675
CRS,50,0,0.48
ERK,323,0,0.439628482972136
MNT,108,0,0.453703703703704
MRO,138,0,0.391304347826087
OSF,29,0,0.586206896551724
HKL,110,0,0.463636363636364
NET,6,0,0.5
TWL,867,432,0.362168396770473
1978,124,163,0.169354838709677
1979,102,0,0.372549019607843
1980,271,269,0.214022140221402
1981,237,0,0.354430379746835
1982,249,0,0.670682730923695
Q1,162,0,0.487654320987654
Q2,289,0,0.325259515570934
Q3,340,269,0.352941176470588
Q4,192,163,0.390625
