margCOPP,n,landing,coverage
BDG,12,0,1
BRG,401,0,0.997506234413965
CRS,60,0,0.95
ERK,459,8136,0.984749455337691
MNT,163,12672,0.993865030674847
MRO,164,11214,0.890243902439024
OSF,36,15228,0.972222222222222
HKL,124,22531,0.846774193548387
NET,14,18366,0.785714285714286
TWL,1157,6353,0.992221261884183
1978,124,0,1
1979,102,0,1
1980,271,19234,0.985239852398524
1981,237,0,0.940928270042194
1982,249,4452,0.979919678714859
1983,312,23564,0.974358974358974
Q1,228,0,0.995614035087719
Q2,390,20922,0.992307692307692
Q3,437,24011,0.974828375286041
Q4,240,2317,0.933333333333333
