margSTRK,n,landing,coverage
BDG,52,2314,0.980769230769231
BRG,51,0,1
CRS,22,0,1
ERK,165,15,0.993939393939394
MNT,21,0,1
MRO,6,0,1
OSF,29,0,1
NET,9,0,1
TWL,337,2329,0.99406528189911
1981,37,0,1
1982,92,0,1
1983,73,0,1
1984,69,2329,0.971014492753623
1985,75,0,1
Q1,108,2314,0.990740740740741
Q2,79,0,1
Q3,90,0,1
Q4,69,15,0.985507246376812
