margSTRK,n,landing,coverage
BDG,52,2314,0.461538461538462
BRG,51,0,0.509803921568627
CRS,22,0,0.727272727272727
ERK,165,15,0.545454545454545
MNT,21,0,0.476190476190476
MRO,6,0,1
OSF,29,0,0.620689655172414
NET,9,0,0.777777777777778
TWL,337,2329,0.543026706231454
1981,37,0,0.297297297297297
1982,92,0,0.391304347826087
1983,73,0,0.561643835616438
1984,69,2329,0.63768115942029
1985,75,0,0.773333333333333
Q1,108,2314,0.712962962962963
Q2,79,0,0.367088607594937
Q3,90,0,0.622222222222222
Q4,69,15,0.405797101449275
