"marginalSSPN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,5376,0.901840490797546
"CRS",50,0,0.9
"ERK",323,250,0.996904024767802
"MNT",108,1340,0.972222222222222
"MRO",138,17160,0.855072463768116
"OSF",29,1189,0.827586206896552
"HKL",110,0,0.918181818181818
"NET",6,0,1
"TWL",867,25315,0.934256055363322
"1978",124,250,0.983870967741935
"1979",102,0,0.852941176470588
"1980",271,6565,0.952029520295203
"1981",237,0,0.89873417721519
"1982",249,18500,0.951807228915663
"Q1",162,1189,0.91358024691358
"Q2",289,19275,0.948096885813149
"Q3",340,4851,0.985294117647059
"Q4",192,0,0.833333333333333
