margPRRK,n,landing,coverage
BDG,56,0,0.285714285714286
BRG,457,0,0.293216630196937
CRS,82,0,0.121951219512195
ERK,594,0,0.265993265993266
MNT,344,0,0.238372093023256
MRO,266,0,0.120300751879699
OSF,104,0,0.153846153846154
HKL,138,0,0.0652173913043478
NET,47,0,0.276595744680851
TWL,1718,0,0.247962747380675
1978,124,0,0.516129032258065
1979,102,0,0.156862745098039
1980,271,0,0.243542435424354
1981,237,0,0.362869198312236
1982,249,0,0.261044176706827
1983,312,0,0.032051282051282
1984,277,0,0.263537906137184
1985,331,0,0.205438066465257
Q1,339,0,0.123893805309735
Q2,531,0,0.114877589453861
Q3,645,0,0.370542635658915
Q4,388,0,0.27319587628866
