margPRRK,n,landing,coverage
BDG,56,0,1
BRG,457,0,0.982494529540481
CRS,82,0,0.707317073170732
ERK,594,0,0.915824915824916
MNT,344,0,0.779069767441861
MRO,266,0,0.909774436090226
OSF,104,0,0.932692307692308
HKL,138,0,0.942028985507246
NET,47,0,0.978723404255319
TWL,1718,0,0.89522700814901
1978,124,0,0.959677419354839
1979,102,0,0.931372549019608
1980,271,0,0.966789667896679
1981,237,0,0.953586497890295
1982,249,0,0.863453815261044
1983,312,0,0.900641025641026
1984,277,0,0.931407942238267
1985,331,0,0.779456193353474
Q1,339,0,0.867256637168142
Q2,531,0,0.824858757062147
Q3,645,0,0.937984496124031
Q4,388,0,0.971649484536082
