margGRAS,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.260736196319018
CRS,50,0,0.28
ERK,323,1251,0.365325077399381
MNT,108,0,0.157407407407407
MRO,138,0,0.297101449275362
OSF,29,0,0.206896551724138
HKL,110,0,0.272727272727273
NET,6,0,0.5
TWL,867,1251,0.291810841983852
1978,124,0,0.459677419354839
1979,102,0,0.284313725490196
1980,271,0,0.276752767527675
1981,237,0,0.194092827004219
1982,249,1251,0.317269076305221
Q1,162,0,0.425925925925926
Q2,289,1251,0.42560553633218
Q3,340,0,0.15
Q4,192,0,0.223958333333333
