"marginalQLBK","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,232,0.996932515337423
"CRS",50,0,1
"ERK",323,0,0.947368421052632
"MNT",108,0,1
"MRO",138,0,0.905797101449275
"OSF",29,0,1
"HKL",110,0,0.881818181818182
"NET",6,0,1
"TWL",867,232,0.974625144175317
"1978",124,232,0.991935483870968
"1979",102,0,1
"1980",271,0,0.952029520295203
"1981",237,0,0.983122362869198
"1982",249,0,0.931726907630522
"Q1",162,232,0.91358024691358
"Q2",289,0,0.986159169550173
"Q3",340,0,1
"Q4",192,0,0.911458333333333
