"marginalQLBK","n","landing","coverage"
"BDG",9,0,0
"BRG",326,232,0.260736196319018
"CRS",50,0,0.34
"ERK",323,0,0.260061919504644
"MNT",108,0,0.138888888888889
"MRO",138,0,0.289855072463768
"OSF",29,0,0.551724137931034
"HKL",110,0,0.227272727272727
"NET",6,0,0.166666666666667
"TWL",867,232,0.26643598615917
"1978",124,232,0.137096774193548
"1979",102,0,0.274509803921569
"1980",271,0,0.302583025830258
"1981",237,0,0.172995780590717
"1982",249,0,0.357429718875502
"Q1",162,232,0.209876543209877
"Q2",289,0,0.304498269896194
"Q3",340,0,0.338235294117647
"Q4",192,0,0.104166666666667
