margLSPN,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,432,0.374233128834356
CRS,50,0,0.24
ERK,323,0,0.498452012383901
MNT,108,0,0.324074074074074
MRO,138,0,0.528985507246377
OSF,29,0,0.517241379310345
HKL,110,0,0.527272727272727
NET,6,0,0.166666666666667
TWL,867,432,0.419838523644752
1978,124,163,0.330645161290323
1979,102,0,0.588235294117647
1980,271,269,0.450184501845018
1981,237,0,0.472573839662447
1982,249,0,0.353413654618474
Q1,162,0,0.598765432098765
Q2,289,0,0.477508650519031
Q3,340,269,0.370588235294118
Q4,192,163,0.322916666666667
