margRDBD,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,0,1
MRO,66,2654,0.984848484848485
OSF,63,2783,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,219,5437,0.990867579908676
1978,57,2783,0.982456140350877
1980,61,0,1
1981,42,2654,0.976190476190476
1982,50,0,1
1983,18,0,1
Q1,45,0,1
Q2,79,0,1
Q3,59,2783,0.983050847457627
Q4,45,2654,0.977777777777778
