margDBRK,n,landing,coverage
BDG,9,0,1
BRG,326,531408,0.96319018404908
CRS,50,377839,0.9
ERK,323,651570,0.904024767801858
MNT,108,7679,0.990740740740741
MRO,138,2352,1
OSF,29,5802,1
HKL,110,3589,1
NET,6,0,1
TWL,867,1573061,0.943483275663206
1978,124,78910,0.959677419354839
1979,102,233217,0.96078431372549
1980,271,322036,0.959409594095941
1981,237,619303,0.962025316455696
1982,249,323184,0.919678714859438
Q1,162,549140,0.969135802469136
Q2,289,386369,0.937716262975779
Q3,340,290371,0.964705882352941
Q4,192,350770,0.927083333333333
